27326,75697,38.31,0,2,0,43
69169,101600,68.9,0,1,0,36
48849,60835,82.19,1,2,0,27
49078,74673,68.3,1,2,0,43
68169,162100,43.18,1,3,0,34
54859,65936,84.93,1,0,0,36
50303,66185,78.57,1,1,0,37
62947,101927,63.77,0,1,0,27
38439,67900,57.44,0,0,0,46
79386,108500,74.65,1,3,0,41
61613,73701,85.48,1,0,0,40
43210,66501,67.67,1,0,0,38
33484,55340,61.44,0,3,0,39
48700,66168,75.57,0,1,0,36
51053,70712,77.78,1,3,0,32
50378,60741,85.61,1,0,0,27
40394,60070,69.92,0,0,0,51
54759,74200,75.2,0,3,0,45
53247,74249,74.0,0,0,0,38
35439,72049,51.35,0,1,0,41
49053,64021,78.88,1,0,0,49
64882,74882,88.14,1,1,0,34
69817,83600,84.93,1,1,0,57
44145,62996,73.02,0,1,0,25
44220,63894,74.34,0,1,0,36
40850,77697,55.34,2,1,0,23
51874,70216,76.98,0,1,0,30
57259,92831,62.48,0,0,0,40
62528,75978,85.0,1,1,0,27
57559,80450,74.58,0,1,0,36
48645,67082,74.54,0,1,0,31
49349,60634,82.46,0,2,0,44
54959,67933,82.43,1,0,0,25
67226,93344,74.29,0,1,0,31
56859,64580,89.97,1,1,0,31
50383,65705,82.19,0,1,0,31
48149,80600,62.03,1,3,0,31
56659,78327,74.05,0,3,0,41
45549,73500,63.95,1,0,0,53
72317,121000,61.57,0,1,0,26
61213,74916,82.76,1,2,0,35
30984,49024,65.27,0,0,0,55
56259,65600,88.41,0,0,0,31
62213,71586,89.4,1,2,0,27
53303,107965,50.94,2,2,0,24
52478,75526,72.82,0,1,0,25
41034,59900,71.79,1,0,0,59
64213,73976,87.87,1,2,0,28
65022,97229,69.94,0,3,0,30
53503,65454,84.03,1,0,0,44
51078,65500,80.92,1,1,0,28
61213,72626,85.37,0,3,0,34
56659,64389,89.92,1,0,0,30
42209,70991,61.08,0,1,0,38
59947,97258,62.72,0,2,0,28
61101,74500,83.89,1,1,0,29
64269,74000,88.65,0,1,0,27
73023,95690,78.27,0,2,0,52
57367,70729,85.0,1,3,0,28
40394,80333,51.04,0,1,0,32
48558,61062,83.52,0,1,0,27
61433,87137,73.45,0,3,0,50
43394,75695,58.13,0,0,0,41
67407,83000,84.94,0,1,0,25
39394,78283,52.37,0,2,0,27
68269,77000,89.74,1,1,0,27
51617,62517,85.0,0,0,0,29
36659,72337,53.91,0,1,0,27
49413,68822,77.01,0,1,0,36
58013,76415,78.52,0,1,0,33
51803,67162,79.66,0,1,0,37
95490,160731,62.22,0,2,0,38
48349,62154,78.84,0,3,0,34
43394,73221,60.09,0,1,0,38
59473,75088,82.57,1,1,0,52
61937,70000,89.99,0,1,0,45
65534,88640,75.59,1,1,0,32
65882,91749,73.03,0,1,0,27
50103,65938,78.86,1,1,0,51
50683,71664,75.35,1,1,0,27
